name,description
Activity,"Involving movement, activity, or exercise, speaking, socializing, and/or networking."
Alcohol,Involving alcohol consumption or beverages.
Attraction,A place which draws visitors by providing something of interest or pleasure.
Auto,Involving automobiles or cars.
Beauty,"Involving nail, hair, or skin cosmetic services."
Education,"Involving the process of facilitated learning, or the acquisition of knowledge, skills, values, morals, beliefs, and habits. Educational methods include teaching, training, storytelling, discussion and directed research."
Events,"A planned public, private or social occasion."
Food & Drink,Involving the consumption of meals or small plates and beverages in an indoor or outdoor setting.
Government,"The system or group of people governing an organized community, generally a state."
Home Services,"Involves the work on various aspects of residential or apartment homes, from the lawn to the roof. It can include landscaping and lawn care, concrete, plumbing, HVAC, flooring, cleaning, roofing, home inspections, home moving, and storage services."
Media,"Involving content, and also a device or object through which that content is delivered. Delivery can come in an individual or combination of sources including but not limited to books, magazines, newspapers, broadcast television, movies, video games, music, cell phones, various kinds of software, and the Internet."
Nightlife,"Involving entertainment that is available and generally more popular from the late evening into the early hours of the morning. It can include pubs, bars, nightclubs, parties, live music, concerts, cabarets, theatre, cinemas, and shows."
Pets,"Involving the care and ownership or animals that include but are not limited to dogs, cats, rabbits; ferrets; pigs; rodents, such as gerbils, hamsters, chinchillas, rats, mice, and guinea pigs; avian pets, such as parrots, passerines and fowls; reptile pets, such as turtles, alligators, crocodiles, lizards, and snakes; aquatic pets, such as fish, freshwater and saltwater snails, amphibians like frogs and salamanders; and arthropod pets, such as tarantulas and hermit crabs."
Professional Services,"Involves an organization or a profession that offers customized, knowledge-based services to clients typically for a fee"
Religious,"Involving social-cultural system of designated behaviors and practices, morals, worldviews, texts, sanctified places, prophecies, ethics, or organizations, that relates humanity to supernatural, transcendental, and spiritual elements."
Shopping,Involving an activity in which a customer browses the available goods or services presented by one or more retailers online or in-person with the potential intent to purchase a suitable selection of them.
Sports ,Involving an activity involving physical exertion and skill in which an individual or team competes against another or others for entertainment.
Travel,"Involving the movement of people between distant geographical locations. Travel can be done by foot, bicycle, automobile, train, boat, bus, airplane, ship or other means, with or without luggage, and can be one way or round trip."
Wellness,"Involving the active and positive process through which people become aware of, and make choices toward, a more successful and healthy mental and spiritual existence."
